MtgCode,Track,MtgType,State,NoRaces,NoRunners,AdjRun,FavWin,Day,OtherWin,10Win,20Win,40Win,90Win,20Plus,10Run,20Run,40Run,90Run,OtherRun
1-Jul-17 Gold Coast,Gold Coast,Metro,QLD,9,85,8.5,2,7,3,3,1,0,0,1,22,10,11,5,28
1-Jul-17 Rosehill,Rosehill,Metro,NSW,9,99,10,1,7,5,3,0,0,0,0,25,20,12,4,29
1-Jul-17 Caulfield,Caulfield,Metro,VIC,9,113,11.5,2,7,4,1,1,1,0,2,30,19,17,4,34
1-Jul-17 Newcastle,Newcastle,Provincial,NSW,8,65,6.5,3,7,4,1,0,0,0,0,14,12,4,2,25
1-Jul-17 Mackay,Mackay,Provincial,QLD,8,87,8.5,1,7,4,3,0,0,0,0,22,11,13,5,28
1-Jul-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,9,116,11.5,4,7,4,1,0,0,0,0,43,17,9,15,23
1-Jul-17 Morphettville,Morphettville,Metro,SA,8,83,8.5,2,7,1,4,1,0,0,1,23,17,13,2,20
1-Jul-17 Casterton,Casterton,Country,VIC,7,60,6,4,7,2,1,0,0,0,0,14,6,7,3,23
1-Jul-17 Gundagai,Gundagai,Country,NSW,6,65,6.5,2,7,3,1,0,0,0,0,15,13,10,2,19
1-Jul-17 Darwin,Darwin,Metro,NT,7,72,7,2,7,4,1,0,0,0,0,20,11,7,4,23
1-Jul-17 Belmont,Belmont,Provincial,WA,8,80,8,4,7,2,1,0,1,0,1,34,7,7,10,14
2-Jul-17 Sale,Sale,Country,VIC,10,102,10,2,1,7,1,0,0,0,0,29,19,7,6,31
2-Jul-17 Launceston,Launceston,Metro,TAS,8,66,6.5,3,1,5,0,0,0,0,0,13,12,4,2,27
2-Jul-17 Toowoomba,Toowoomba,Provincial,QLD,8,78,8,2,1,3,3,0,0,0,0,17,10,16,3,24
2-Jul-17 Mudgee,Mudgee,Country,NSW,8,101,10,3,1,2,3,0,0,0,0,27,17,8,18,23
2-Jul-17 Nowra,Nowra,Country,NSW,7,66,6.5,3,1,4,0,0,0,0,0,15,9,10,4,21
2-Jul-17 Bordertown,Bordertown,Country,SA,7,76,7.5,1,1,2,3,1,0,0,1,19,15,5,4,26
2-Jul-17 Kalgoorlie,Kalgoorlie,Provincial,WA,7,60,6,3,1,3,1,0,0,0,0,14,7,10,3,19
2-Jul-17 Alice Springs,Alice Springs,Provincial,NT,5,29,3,3,1,2,0,0,0,0,0,3,2,2,0,17
3-Jul-17 Taree,Taree,Country,NSW,8,85,8.5,4,2,3,1,0,0,0,0,21,19,9,5,23
3-Jul-17 Mildura,Mildura,Country,VIC,8,87,8.5,2,2,6,0,0,0,0,0,19,9,20,9,22
4-Jul-17 Corowa,Corowa,Country,NSW,8,99,10,1,3,5,0,1,1,0,2,23,13,18,11,26
4-Jul-17 Muswellbrook,Muswellbrook,Country,NSW,7,70,7,2,3,3,2,0,0,0,0,17,13,8,9,16
4-Jul-17 Geelong Synthetic,Geelong Synthetic,Country,VIC,8,75,7.5,2,3,4,2,0,0,0,0,13,7,12,7,28
5-Jul-17 Gold Coast,Gold Coast,Metro,QLD,8,78,8,1,4,4,2,1,0,0,1,23,14,5,6,22
5-Jul-17 Murray Bridge,Murray Bridge,Provincial,SA,8,72,7,4,4,1,2,0,1,0,1,13,15,6,5,25
5-Jul-17 Canterbury,Canterbury,Metro,NSW,7,66,6.5,2,4,3,1,0,1,0,1,17,10,9,0,23
5-Jul-17 Sandown Lakeside,Sandown Lakeside,Metro,VIC,8,99,10,2,4,5,1,0,0,0,0,36,12,11,7,25
5-Jul-17 Belmont,Belmont,Provincial,WA,8,95,9.5,2,4,3,1,0,2,0,2,22,16,16,10,23
6-Jul-17 Grafton,Grafton,Country,NSW,8,101,10,3,5,4,1,0,0,0,0,28,15,12,8,30
6-Jul-17 Rockhampton,Rockhampton,Provincial,QLD,8,81,8,4,5,2,2,0,0,0,0,17,19,8,9,20
6-Jul-17 Hawkesbury,Hawkesbury,Provincial,NSW,8,63,6.5,6,5,2,0,0,0,0,0,9,13,4,5,24
6-Jul-17 Cranbourne,Cranbourne,Country,VIC,9,109,11,4,5,2,3,0,0,0,0,23,17,19,13,28
6-Jul-17 Northam,Northam,Provincial,WA,7,70,7,3,5,3,1,0,0,0,0,13,10,10,6,24
7-Jul-17 Bendigo,Bendigo,Country,VIC,10,105,10.5,1,6,6,2,1,0,0,1,25,13,14,10,33
7-Jul-17 Goulburn,Goulburn,Country,NSW,8,82,8,2,6,5,0,0,1,0,1,20,8,13,8,25
7-Jul-17 Gunnedah,Gunnedah,Country,NSW,8,92,9,1,6,4,3,0,0,0,0,15,10,15,16,28
7-Jul-17 Ipswich,Ipswich,Provincial,QLD,7,59,6,2,6,4,1,0,0,0,0,12,9,7,1,23
8-Jul-17 Warwick Farm,Warwick Farm,Metro,NSW,9,92,9,2,7,3,3,1,0,0,1,25,21,8,1,28
8-Jul-17 Doomben,Doomben,Metro,QLD,9,104,10.5,4,7,5,0,0,0,0,0,24,17,16,6,32
8-Jul-17 Flemington,Flemington,Metro,VIC,9,101,10,4,7,3,2,0,0,0,0,26,13,16,7,30
8-Jul-17 Kembla Grange,Kembla Grange,Provincial,NSW,8,84,8.5,3,7,2,2,1,0,0,1,22,19,6,3,26
8-Jul-17 Gold Coast,Gold Coast,Metro,QLD,8,66,6.5,2,7,4,1,1,0,0,1,16,7,4,4,27
8-Jul-17 Donald,Donald,Country,VIC,8,87,8.5,4,7,3,1,0,0,0,0,27,12,11,3,26
8-Jul-17 Mackay,Mackay,Provincial,QLD,7,63,6.5,2,7,1,3,0,1,0,1,17,7,10,3,19
8-Jul-17 Gawler,Gawler,Metro,SA,8,80,8,1,7,4,2,1,0,0,1,25,13,5,2,27
8-Jul-17 Dubbo,Dubbo,Country,NSW,7,86,8.5,1,7,4,1,0,0,1,1,21,18,15,7,18
8-Jul-17 Darwin,Darwin,Metro,NT,9,84,8.5,4,7,2,2,1,0,0,1,25,18,6,0,26
8-Jul-17 Belmont,Belmont,Provincial,WA,8,87,8.5,4,7,3,0,1,0,0,1,21,12,8,12,26
8-Jul-17 Broome,Broome,Country,WA,7,61,6,3,7,3,1,0,0,0,0,19,8,1,0,26
8-Jul-17 Toowoomba,Toowoomba,Provincial,QLD,7,57,5.5,3,7,3,1,0,0,0,0,9,12,4,1,24
9-Jul-17 Hobart,Hobart,Metro,TAS,9,81,8,3,1,4,1,1,0,0,1,14,17,6,5,30
9-Jul-17 Wagga,Wagga,Country,NSW,9,104,10.5,1,1,6,2,0,0,0,0,29,12,14,9,31
9-Jul-17 Grafton,Grafton,Country,NSW,8,105,10.5,2,1,3,3,0,0,0,0,34,19,14,9,21
9-Jul-17 Warrnambool,Warrnambool,Country,VIC,8,79,8,2,1,5,1,0,0,0,0,18,20,9,5,19
9-Jul-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,8,75,7.5,0,1,5,3,0,0,0,0,17,11,8,5,26
9-Jul-17 Port Augusta,Port Augusta,Country,SA,8,64,6.5,3,1,5,0,0,0,0,0,17,6,4,5,24
9-Jul-17 Pakenham Synthetic,Pakenham Synthetic,Country,VIC,7,73,7.5,2,1,5,0,0,0,0,0,10,12,15,3,26
9-Jul-17 Kalgoorlie,Kalgoorlie,Provincial,WA,7,59,6,3,1,3,1,0,0,0,0,12,6,9,0,25
10-Jul-17 Echuca,Echuca,Country,VIC,10,111,11,1,2,3,6,0,0,0,0,31,23,8,4,35
10-Jul-17 Tamworth,Tamworth,Country,NSW,8,94,9.5,4,2,4,0,0,0,0,0,18,21,15,11,21
11-Jul-17 Gosford,Gosford,Provincial,NSW,8,61,6,1,3,7,0,0,0,0,0,12,5,7,5,24
11-Jul-17 Dalby,Dalby,Provincial,QLD,7,81,8,1,3,4,2,0,0,0,0,18,14,11,9,22
11-Jul-17 Geelong Synthetic,Geelong Synthetic,Country,VIC,8,85,8.5,1,3,3,4,0,0,0,0,21,12,17,4,23
11-Jul-17 Wellington,Wellington,Country,NSW,7,77,7.5,5,3,0,1,1,0,0,1,17,14,12,6,21
12-Jul-17 Doomben,Doomben,Metro,QLD,8,66,6.5,2,4,5,1,0,0,0,0,13,9,8,2,26
12-Jul-17 Grafton,Grafton,Country,NSW,8,91,9,4,4,4,0,0,0,0,0,14,12,17,12,28
12-Jul-17 Balaklava,Balaklava,Provincial,SA,8,79,8,3,4,3,1,1,0,0,1,12,11,16,5,27
12-Jul-17 Canterbury,Canterbury,Metro,NSW,7,58,6,3,4,4,0,0,0,0,0,13,8,4,1,25
12-Jul-17 Sandown Lakeside,Sandown Lakeside,Metro,VIC,8,88,9,3,4,3,0,0,2,0,2,20,10,16,8,26
12-Jul-17 Belmont,Belmont,Provincial,WA,8,94,9.5,1,4,4,3,0,0,0,0,24,14,13,11,24
13-Jul-17 Wyong,Wyong,Provincial,NSW,8,54,5.5,3,5,3,0,2,0,0,2,7,6,9,1,23
13-Jul-17 Grafton,Grafton,Country,NSW,8,96,9.5,4,5,2,1,0,0,1,1,25,17,13,10,23
13-Jul-17 Ballarat,Ballarat,Metro,VIC,9,92,9,3,5,5,0,0,1,0,1,25,19,10,2,27
13-Jul-17 Rockhampton,Rockhampton,Provincial,QLD,7,63,6.5,3,5,3,1,0,0,0,0,22,6,5,2,21
13-Jul-17 Pinjarra,Pinjarra,Provincial,WA,8,92,9,3,5,2,1,2,0,0,2,24,14,13,7,26
14-Jul-17 Canberra,Canberra,Country,ACT,8,69,7,3,6,5,0,0,0,0,0,12,10,8,5,26
14-Jul-17 Scone,Scone,Country,NSW,8,89,9,2,6,6,0,0,0,0,0,20,11,10,13,27
14-Jul-17 Ipswich,Ipswich,Provincial,QLD,7,69,7,2,6,4,1,0,0,0,0,13,9,9,6,25
14-Jul-17 Pakenham Synthetic,Pakenham Synthetic,Country,VIC,7,65,6.5,4,6,3,0,0,0,0,0,18,9,9,4,18
14-Jul-17 Carnarvon,Carnarvon,Country,WA,6,42,4,2,6,4,0,0,0,0,0,8,7,4,0,17
