RaceCode,Date,Day,State,Track,RaceNo,Time,Distance,FavSP,10,20,40,90,Runners,Barrier,WinSP
1-Jul-17 Gold Coast R1,42917,7,QLD,Gold Coast,1,0.472222222,1200,2.6,0,1,1,0,6,,2.6
1-Jul-17 Rosehill R1,42917,7,NSW,Rosehill,1,0.475694444,1400,2.4,2,2,2,0,9,,2.8
1-Jul-17 Caulfield R1,42917,7,VIC,Caulfield,1,0.486111111,1200,3.4,3,0,0,1,9,,3.4
1-Jul-17 Newcastle R1,42917,7,NSW,Newcastle,1,0.488888889,2360,1.55,2,2,0,0,7,,13
1-Jul-17 Gold Coast R2,42917,7,QLD,Gold Coast,2,0.494444444,1200,1.65,0,1,3,0,8,,31
1-Jul-17 Rosehill R2,42917,7,NSW,Rosehill,2,0.5,1500,2.9,1,0,0,0,6,,5
1-Jul-17 Mackay R1,42917,7,QLD,Mackay,1,0.502083333,1300,2.8,1,1,1,2,9,,2.9
1-Jul-17 Sunshine Coast R1,42917,7,QLD,Sunshine Coast,1,0.504861111,1000,2.7,2,1,0,1,8,,2.7
1-Jul-17 Caulfield R2,42917,7,VIC,Caulfield,2,0.510416667,2000,2.7,7,2,0,0,11,,2.7
1-Jul-17 Newcastle R2,42917,7,NSW,Newcastle,2,0.513194444,1200,2.9,1,1,0,0,6,,6
1-Jul-17 Morphettville R1,42917,7,SA,Morphettville,1,0.495138889,2024,3.3,6,0,0,0,9,,10
1-Jul-17 Gold Coast R3,42917,7,QLD,Gold Coast,3,0.51875,1100,3.7,6,1,1,1,12,,12
1-Jul-17 Casterton R1,42917,7,VIC,Casterton,1,0.521527778,3480,2.4,3,0,0,0,6,,2.4
1-Jul-17 Rosehill R3,42917,7,NSW,Rosehill,3,0.524305556,1900,3.7,4,1,1,0,11,,19
1-Jul-17 Mackay R2,42917,7,QLD,Mackay,2,0.526388889,1800,2.15,2,0,2,0,8,,3.6
1-Jul-17 Sunshine Coast R2,42917,7,QLD,Sunshine Coast,2,0.529166667,1600,3.3,3,1,0,0,8,,3.3
