MtgCode,Track,MtgType,State,NoRaces,NoRunners,AdjRun,FavWin,Day,OtherWin,10Win,20Win,40Win,90Win
13-Jan-23 Ballina,Ballina,Country,NSW,8,81,8,1,6,5,2,0,0,0
13-Jan-23 Cranbourne,Cranbourne,Country,VIC,8,69,7,3,6,4,1,0,0,0
13-Jan-23 Geelong,Geelong,Country,VIC,8,77,7.5,0,6,6,1,1,0,0
12-Jan-23 Gunnedah,Gunnedah,Country,NSW,8,90,9,1,5,4,2,0,1,0
12-Jan-23 Moruya,Moruya,Country,NSW,7,63,6.5,3,5,3,1,0,0,0
12-Jan-23 Pakenham,Pakenham,Country,VIC,8,84,8.5,3,5,3,2,0,0,0
12-Jan-23 Penola,Penola,Country,SA,8,82,8,1,5,6,1,0,0,0
11-Jan-23 Canberra,Canberra,Country,ACT,8,65,6.5,3,4,3,2,0,0,0
10-Jan-23 Albury,Albury,Country,NSW,8,74,7.5,3,3,4,1,0,0,0
10-Jan-23 Yarra Valley,Yarra Valley,Country,VIC,8,90,9,4,3,2,2,0,0,0
9-Jan-23 Taree,Taree,Country,NSW,7,64,6.5,1,2,3,3,0,0,0
9-Jan-23 Dubbo,Dubbo,Country,NSW,7,86,8.5,4,2,2,1,0,0,0
8-Jan-23 Mornington,Mornington,Country,VIC,7,57,5.5,3,1,3,1,0,0,0
7-Jan-23 Glen Innes,Glen Innes,Country,NSW,6,64,6.5,3,7,3,0,0,0,0
7-Jan-23 Queanbeyan,Queanbeyan,Country,NSW,6,52,5,1,7,2,2,0,0,1
7-Jan-23 Werribee,Werribee,Country,VIC,6,71,7,2,7,2,1,1,0,0
6-Jan-23 Cranbourne,Cranbourne,Country,VIC,8,66,6.5,3,6,3,2,0,0,0
6-Jan-23 Port Macquarie,Port Macquarie,Country,NSW,8,90,9,4,6,2,1,0,1,0
6-Jan-23 Stawell,Stawell,Country,VIC,9,103,10.5,4,6,5,0,0,0,0
6-Jan-23 Orange,Orange,Country,NSW,8,69,7,1,6,6,1,0,0,0
5-Jan-23 Wagga,Wagga,Country,NSW,8,83,8.5,6,5,1,0,0,1,0
4-Jan-23 Geelong,Geelong,Country,VIC,8,86,8.5,3,4,3,2,0,0,0
3-Jan-23 Taree,Taree,Country,NSW,8,84,8.5,4,3,4,0,0,0,0
3-Jan-23 Muswellbrook,Muswellbrook,Country,NSW,7,75,7.5,1,3,6,0,0,0,0
3-Jan-23 Stony Creek,Stony Creek,Country,VIC,8,69,7,2,3,4,2,0,0,0
2-Jan-23 Moruya,Moruya,Country,NSW,8,62,6,2,2,5,0,1,0,0
2-Jan-23 Gilgandra,Gilgandra,Country,NSW,7,68,7,3,2,3,0,1,0,0
2-Jan-23 Terang,Terang,Country,VIC,8,81,8,4,2,2,2,0,0,0
1-Jan-23 Inverell,Inverell,Country,NSW,8,94,9.5,4,1,3,1,0,0,0
1-Jan-23 Port Macquarie,Port Macquarie,Country,NSW,6,60,6,3,1,3,0,0,0,0
1-Jan-23 Burrumbeet,Burrumbeet,Country,VIC,9,72,7,1,1,6,0,2,0,0
1-Jan-23 Mornington,Mornington,Country,VIC,7,73,7.5,3,1,3,1,0,0,0
31-Dec-22 Warrnambool,Warrnambool,Country,VIC,8,83,8.5,3,7,4,1,0,0,0
31-Dec-22 Gilgandra,Gilgandra,Country,NSW,6,68,7,3,7,0,1,2,0,0
31-Dec-22 Nowra,Nowra,Country,NSW,6,53,5.5,3,7,2,0,1,0,0
30-Dec-22 Canberra,Canberra,Country,ACT,10,68,7,4,6,6,0,0,0,0
30-Dec-22 Wangaratta,Wangaratta,Country,VIC,8,100,10,1,6,5,2,0,0,0
30-Dec-22 Orange,Orange,Country,NSW,7,69,7,5,6,2,0,0,0,0
29-Dec-22 Cranbourne,Cranbourne,Country,VIC,8,71,7,6,5,2,0,0,0,0
29-Dec-22 Coffs Harbour,Coffs Harbour,Country,NSW,8,85,8.5,3,5,4,1,0,0,0
29-Dec-22 Naracoorte,Naracoorte,Country,SA,7,64,6.5,3,5,2,0,2,0,0
28-Dec-22 Corowa,Corowa,Country,NSW,7,53,5.5,4,4,3,0,0,0,0
28-Dec-22 Mornington,Mornington,Country,VIC,8,64,6.5,1,4,6,1,0,0,0
28-Dec-22 Bowraville,Bowraville,Country,NSW,6,43,4.5,3,4,2,1,0,0,0
27-Dec-22 Sapphire Coast,Sapphire Coast,Country,NSW,7,60,6,4,3,3,0,0,0,0
27-Dec-22 Murwillumbah,Murwillumbah,Country,NSW,7,59,6,5,3,2,0,0,0,0
27-Dec-22 Stony Creek,Stony Creek,Country,VIC,8,72,7,3,3,5,0,0,0,0
26-Dec-22 Geelong,Geelong,Country,VIC,7,69,7,2,2,4,1,0,0,0
26-Dec-22 Ballina,Ballina,Country,NSW,6,56,5.5,4,2,1,1,0,0,0
24-Dec-22 Tamworth,Tamworth,Country,NSW,8,90,9,4,7,4,0,0,0,0
23-Dec-22 Cranbourne,Cranbourne,Country,VIC,8,83,8.5,1,6,6,1,0,0,0
23-Dec-22 Wagga,Wagga,Country,NSW,8,79,8,2,6,4,2,0,0,0
23-Dec-22 Coonabarabran,Coonabarabran,Country,NSW,8,92,9,0,6,6,1,1,0,0
23-Dec-22 Yarra Valley,Yarra Valley,Country,VIC,10,110,11,3,6,3,4,0,0,0
22-Dec-22 Wangaratta,Wangaratta,Country,VIC,8,91,9,4,5,3,1,0,0,0
20-Dec-22 Scone,Scone,Country,NSW,7,72,7,3,3,1,2,1,0,0
20-Dec-22 Terang,Terang,Country,VIC,10,119,12,5,3,2,1,1,1,0
19-Dec-22 Corowa,Corowa,Country,NSW,7,61,6,1,2,4,2,0,0,0
